index,method,confidence,n_obs,n_breaches,expected_rate,observed_rate,kupiec_p_value,kupiec_pass,christoffersen_p_value,christoffersen_pass
SP500,normal,0.99,1000,15,0.010000000000000009,0.015,0.13897711831800885,True,0.21836342360741212,True
SP500,student_t,0.99,1000,10,0.010000000000000009,0.01,1.0,True,0.0846650601191008,True
SP500,historical,0.99,1000,9,0.010000000000000009,0.009,0.7464708773457875,True,0.06583820866128798,True
SP500,evt,0.99,1000,8,0.010000000000000009,0.008,0.5101590486454407,True,0.04960520378585487,False
