index,confidence,EVT_VaR,EVT_CVaR,tail_index_xi,gpd_scale_sigma,threshold_u,n_exceedances,pct_data_in_tail
SP500,0.95,0.018506440410436555,0.029164853143006597,0.1540827448009902,0.00810264639184306,0.012577880058979878,669,0.10001494991777546
SP500,0.99,0.03497503412686283,0.048633180116135766,0.1540827448009902,0.00810264639184306,0.012577880058979878,669,0.10001494991777546
SP500,0.995,0.043426718118317435,0.058624327523888166,0.1540827448009902,0.00810264639184306,0.012577880058979878,669,0.10001494991777546
NIFTY,0.95,0.01855001197113177,0.03034912267624924,0.22505413929275042,0.007821088719567514,0.012673278108132471,464,0.10010787486515642
NIFTY,0.99,0.036284530543234994,0.05323397111703958,0.22505413929275042,0.007821088719567514,0.012673278108132471,464,0.10010787486515642
NIFTY,0.995,0.04613748502757675,0.0659483489644798,0.22505413929275042,0.007821088719567514,0.012673278108132471,464,0.10010787486515642
