index,confidence,normal_VaR,normal_CVaR,student_t_VaR,student_t_CVaR,t_df,historical_VaR,historical_CVaR
SP500,0.95,0.019629412632348995,0.024698341267090095,0.016745452300186703,0.029658883252731093,2.674397195177954,0.01836933171828141,0.029084609415413725
SP500,0.99,0.027896421864709378,0.032007111317194234,0.03462817309328853,0.05711158509754777,2.674397195177954,0.03398317095317788,0.04896187973423003
SP500,0.995,0.03092280879292527,0.034757560440434175,0.045835009762744724,0.07460762848137226,2.674397195177954,0.04330543678901005,0.059848970038815605
NIFTY,0.95,0.020865808472040243,0.02628072581967493,0.017818591311795525,0.030252401190345814,2.8561576974726672,0.018326798473941995,0.030267057935350523
NIFTY,0.99,0.029697097079766085,0.03408836893047663,0.03568023093261276,0.05610264973530591,2.8561576974726672,0.03558120129135142,0.05295546139715831
NIFTY,0.995,0.03293005541457762,0.037026554836102274,0.04653429081356953,0.07163949401122209,2.8561576974726672,0.04761966485395481,0.06517402209661866
